pfloor,pid,pname,pperiod,prate
1000000,AD183144,“农银私行·安心得利·灵珑”2018年第53期封闭净值型人民币理财产品（客户升级专享）,159天,业绩基准4.55%
50000,AD180237,“金钥匙·安心得利·灵珑”2018年第51期封闭净值型人民币理财产品（薪资专享）,120天,业绩基准4.45%
50000,ADRY177090B,“金钥匙·如意组合·90天”看跌白糖期货价格人民币理财产品,90天,3%-5.3%
1000000,AD183146,“农银私行·安心得利·灵珑”2018年第55期封闭净值型人民币理财产品（掌银享礼）,148天,业绩基准4.6%
8000,AD172200,中国农业银行“金钥匙·安心得利·360天”美元理财产品,360天,2.85%
50000,AD180238,“金钥匙·安心得利·灵珑”2018年第13期老客户专享封闭净值型人民币理财产品,139天,业绩基准4.5%
8000,AD172199,中国农业银行“金钥匙·安心得利·181天”美元理财产品,181天,2.05%
50000,AD180231,“金钥匙·安心得利·灵珑”2018年第45期封闭净值型人民币理财产品（周四我最赚）,160天,业绩基准4.55%
50000,ADRY176034A,“金钥匙·如意组合·34天”看涨沪深300指数人民币理财产品,34天,3%-4.9%
50000,AD141863,“安心·270天”人民币理财产品,270天,业绩基准4.35%
50000,AD180233,“金钥匙·安心得利·灵珑”2018年第47期封闭净值型人民币理财产品（周四掌银专享）,180天,业绩基准4.55%
50000,ADRY176034B,“金钥匙·如意组合·34天”看跌沪深300指数人民币理财产品,34天,3%-4.9%
50000,BF141425,“本利丰·181天”人民币理财产品,181天,3.25%
50000,ADRY180118A,“金钥匙·如意”2018年第118期沪深300指数期末看涨连续型人民币理财产品,90天,2.5%-6.5%
50000,BFHN170001,“金益农·惠农理财”2017年第1期人民币理财产品,3653天,2.5%-4.2%
50000,BF141423,“本利丰·62天”人民币理财产品,62天,3%
50000,ADRY180119A,“金钥匙·如意组合”2018年第119期看涨沪深300指数人民币理财产品,181天,4%-4.9%
0,ABK160006,“安心·灵动·14天”人民币理财产品（法人专属）,最低持有14天,2.8%-3.68%
50000,BF141427,“本利丰·360天”人民币理财产品,360天,3.4%
50000,ADRY180119B,“金钥匙·如意组合”2018年第119期看跌沪深300指数人民币理财产品,181天,4%-4.9%
50000,BFBBG160001,中国农业银行“本利丰步步高”开放式人民币理财产品,3653天,2%-3.1%
50000,BF141424,“本利丰·90天”人民币理财产品,90天,3.15%
50000,HF180485,“金钥匙·汇利丰”2018年第485期人民币结构性存款产品,365天,3.6%-3.7%
200000000,AKTTLSH02,“农银私行·安心快线天天利”开放式人民币理财产品（顶级客户专属）,1827天,3.35%
50000,BF141422,“本利丰·34天”人民币理财产品,34天,2.95%
50000,HF180488,“金钥匙·汇利丰”2018年第488期人民币结构性存款产品,182天,3.5%-3.6%
1000000,AKTTLSH,“农银私行·安心快线天天利”开放式人民币理财产品,1827天,3.25%-3.35%
