pfloor,pid,pname,pperiod,prate
5万,EB2015,定活宝A(EB2015),--,3.6-4.5%
5万,EB4395,光银现金A(EB4395),1日,4.102%
10万,EB1004,阳光稳健一号(EB1004),--,1.1791
50万,EB1008,私募基金宝(EB1008),--,1.6938
5万,EB1668,阳光碧1号(EB1668),--,1.0051
100万,EB2073,活期盈(尊享)(EB2073),--,3.95%
300万,EB2048,周周盈产品4(EB2048),7日,4.4%
100万,EB5720,财富定向-6月(EB5720),6月,5.0-5.0%
5万,EB6004,光大万丰避险一期(EB6004),--,1.0377
20万,EB1001,同享二号(EB1001),--,1.0257
100万,EB2013,双周盈产品3(EB2013),14日,4.45%
10万,EB1888,阳光金2号(EB1888),--,1.0278
5000万,EB2036,活期盈（荣耀）(EB2036),--,4.0%
30万,EB2032,双月盈产品2(EB2032),2月,4.75%
5万,EB2021,月月盈产品1(EB2021),1月,4.45%
5万,EB2051,九久盈产品1(EB2051),9月,4.85%
100万,EB5717,财富定向-3月(EB5717),3月,4.95-4.95%
5万,EB6003,光大万丰稳健三期(EB6003),--,0.9814
5万,EB6005,光大万丰避险二期(EB6005),--,0.9792
100万,EB2047,周周盈产品3(EB2047),7日,4.35%
5万,EB1068,阳光金日添利1号(EB1068),--,1.0145
300万,EB2010,半年盈产品4(EB2010),6月,4.95%
30万,EB2062,年年盈产品2(EB2062),12月,4.95%
500万,EB2018,定活宝（私银）(EB2018),--,3.75-4.65%
100万,EB2033,双月盈产品3(EB2033),2月,4.8%
300万,EB2024,月月盈产品4(EB2024),1月,4.55%
30万,EB2012,双周盈产品2(EB2012),14日,4.4%
5万,EB2045,周周盈产品1(EB2045),7日,4.25%
10万,EB1301,颐享阳光A(EB1301),--,1
10万,EB1903,资产配置平衡(EB1903),--,1.5995
300万,EB2044,季季盈产品4(EB2044),3月,4.9%
5万,EB1102,阳光金年丰利1期(EB1102),--,--
10万,EB6001,光大万丰稳健二期(EB6001),--,1.0414
5万,EB2041,季季盈产品1(EB2041),3月,4.8%
100万,EB2013,双周盈产品3(EB2013),14日,4.45%
30万,EB2002,半年盈产品2(EB2002),6月,4.9%
300万,EB2058,九久盈产品4(EB2058),9月,4.95%
30万,EB2016,定活宝B(EB2016),--,3.65-4.55%
100万,EB2023,月月盈产品3(EB2023),1月,4.55%
30万,EB2022,月月盈产品2(EB2022),1月,4.5%
5万,EB5135,安心计划2年(EB5135),24月,4.85%
30万,EB2042,季季盈产品2(EB2042),3月,4.85%
5万,EB1901,资产配置稳健(EB1901),--,1.5708
100万,EB2043,季季盈产品3(EB2043),3月,4.9%
5万,EB6239,同利计划39天(EB6239),39日,4.65%
5万,EB6002,光大万丰稳健一期(EB6002),--,0.9851
5万,EB2031,双月盈产品1(EB2031),2月,4.7%
5万,EB2001,半年盈产品1(EB2001),6月,4.85%
100万,EB2009,半年盈产品3(EB2009),6月,4.95%
100万,EB2017,定活宝C(EB2017),--,3.7-4.6%
300万,EB2014,双周盈产品4(EB2014),14日,4.5%
5万,EB2061,年年盈产品1(EB2061),12月,4.9%
5万,EB4718,优客理财产品3(EB4718),150日,5.0-5.0%
300万,EB2064,年年盈产品4(EB2064),12月,5.0%
20万,EB1905,资产配置激进(EB1905),--,1.3556
300万,EB2034,双月盈产品4(EB2034),2月,4.8%
30万,EB2072,活期盈B(EB2072),--,3.9%
10万,EB1004,阳光稳健一号(EB1004),--,1.1791
30万,EB2052,九久盈产品2(EB2052),9月,4.9%
5万,EB2943,安心计划1年(EB2943),12月,4.9-4.95%
5万,EB2011,双周盈产品1(EB2011),14日,4.35%
100万,EB2053,九久盈产品3(EB2053),9月,4.95%
30万,EB2046,周周盈产品2(EB2046),7日,4.3%
100万,EB2063,年年盈产品3(EB2063),12月,5.0%
5万,EB1666,阳光亲子理财(EB1666),--,1
10万,EB1902,资产配置增利(EB1902),--,1.7276
5万,EB5136,安心计划3年(EB5136),36月,5.35%
300万,EB2010,半年盈产品4(EB2010),6月,4.95%
5万,EB2049,七天盈(EB2049),7日,4.25%
10万,EB1302,颐享阳光B(EB1302),--,1
20万,EB1904,资产配置进取(EB1904),--,1.458
