pfloor,pid,pname,pperiod,prate
10万,AMZYBYRX2018356,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018357,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018358,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018359,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018360,搏弈睿选,49,3.7%或3.9%
10万,AMZYBYRX2018361,搏弈睿选,63,3.8%或4.0%
10万,AMZYBYRX2018362,搏弈睿选,105,4.0%或4.2%
10万,AMZYBYRX2018363,搏弈睿选,182,4.1%或4.3%
10万,AMZYBYRX2018364,搏弈睿选,273,4.1%或4.3%
10万,AMZYBYRX2018365,搏弈睿选,364,4.2%或4.4%
5万,AMZYJZT-LPA18610,基智通-流动性增强A系列,35,3.95%
5万,AMZYJZT-LPA18611,基智通-流动性增强A系列,59,4.15%
5万,AMZYJZT-LPA18612,基智通-流动性增强A系列,84,4.25%
5万,AMZYJZT-LPA18613,基智通-流动性增强A系列,180,4.30%
5万,AMZYJZT-LPA18614,基智通-流动性增强A系列,264,4.35%
5万,AMZYJZT-LPA18615,基智通-流动性增强A系列,362,4.45%
5万,AMZYJZT-LPA18616,基智通-流动性增强A系列,37,3.95%
5万,AMZYJZT-LPA18617,基智通-流动性增强A系列,58,4.15%
5万,AMZYJZT-LPA18618,基智通-流动性增强A系列,84,4.25%
5万,AMZYJZT-LPA18619,基智通-流动性增强A系列,179,4.30%
5万,AMZYJZT-LPA18620,基智通-流动性增强A系列,263,4.35%
5万,AMZYJZT-LPA18621,基智通-流动性增强A系列,361,4.45%
10万,AMZYJZT-LPA18622,（高净值专属）基智通-流动性增强A系列,53,4.15%
10万,AMZYJZT-LPA18623,（高净值专属）基智通-流动性增强A系列,84,4.25%
10万,AMZYJZT-LPA18624,（高净值专属）基智通-流动性增强A系列,52,4.15%
10万,AMZYJZT-LPA18625,（高净值专属）基智通-流动性增强A系列,84,4.25%
5万,AMZYPWHQ181543,中银平稳-智荟系列181543期,49,4.00%
5万,AMZYPWHQ181544,中银平稳-智荟系列181544期,63,4.10%
5万,AMZYPWHQ181545,中银平稳-智荟系列181545期,91,4.25%
5万,AMZYPWHQ181546,中银平稳-智荟系列181546期,182,4.35%
