pfloor,pname,pperiod,prate
50000,增盈127天（2176号）,127天,4.80%
50000,增盈149天A款（2176号）,149天,4.80%
1000000,增盈149天C款（2176号）,149天,4.90%
50000,增盈191天A款（2176号）,191天,4.85%
1000000,增盈191天C款（2176号）,191天,4.95%
200000,增盈228天（高净值客户专属2186号）,228天,5.10%
50000,增盈275天A款（2176号）,275天,4.85%
1000000,增盈275天C款（2176号）,275天,4.95%
50000,增盈279天（团购2175号）,279天,4.95%
50000,增盈279天（团购2176号）,279天,5.05%
50000,增盈279天（团购2179号）,279天,5.15%
1000000,增盈290天（高净值客户专属2186号）,290天,5.15%
50000,增盈293天（华夏e社区专属2175号）,293天,4.98%
50000,增盈98天（2176号）,98天,4.88%
50000,增盈天天理财增强型（安逸版）,无固定期限,4.15%
50000,增薪盈260天（代发工资客户专属69号）,260天,5.00%
50000,家和盈243天（社区支行专属103号）,243天,4.98%
50000,慧盈488号A款,92天,4.35%-4.45%
200000,慧盈488号B款,92天,4.46%-4.56%
50000,慧盈488号G款,92天,0.53%-4.53%
50000,慧盈488号M款,92天,0.91%-4.91%
50000,慧盈489号A款,183天,4.36%-4.41%
200000,慧盈489号B款,183天,4.46%-4.51%
50000,慧盈489号G款,183天,0.44%-4.44%
50000,慧盈489号M款,183天,0.91%-4.91%
50000,慧盈490号A款,365天,4.36%-4.41%
200000,慧盈490号B款,365天,4.48%-4.53%
50000,慧盈492号A款,92天,4.35%-4.45%
200000,慧盈492号B款,92天,4.45%-4.55%
50000,慧盈492号G款,92天,0.58%-4.58%
50000,慧盈492号M款,92天,0.85%-4.85%
50000,慧盈493号A款,183天,4.36%-4.41%
200000,慧盈493号B款,183天,4.45%-4.50%
50000,慧盈493号G款,183天,0.49%-4.49%
50000,慧盈493号M款,183天,0.83%-4.83%
50000,慧盈494号A款,365天,4.36%-4.41%
200000,慧盈494号B款,365天,4.45%-4.50%
50000,新盈213天（新客户专属118号）,213天,5.25%
50000,步步增盈安逸版,无固定期限,4.90%
50000,车盈243天（ETC客户专属112号）,243天,4.98%
100000,龙盈1号开放式净值型理财产品,无固定期限,1.1354
100000,龙盈2号开放式净值型理财产品,无固定期限,1.1307
50000,龙盈3号开放式净值型理财产品,无固定期限,1.0935
100000,龙盈4号开放式净值型理财产品,无固定期限,1.0846
