pfloor,pid,pname,pperiod,prate
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,CNJG1894,中国工商银行个人人民币结构性存款产品2018年第86期CNJG1894,271,2.70%-3.60%
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,BBWL63,保本稳利63天BBWL63,63,3.30%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,CNJG1909,中国工商银行个人人民币结构性存款产品2018年第85期CNJG1909,139,2.70%-3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
5万,BBWL91,保本稳利91天BBWL91,91,3.45%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
10万,CFXT8053,2018第34期工银理财92天CFXT8053,92,4.25%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
5万,BBWL63,保本稳利63天BBWL63,63,3.30%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
2万,QQTY1801,“全球添益”封闭净值型理财产品2018年第1期QQTY1801QQTY1801,373,2.95%
