pfloor,pid,pname,pperiod,prate
5万元,191090001,得利宝天添利Ａ款,,3.20%
5万元,191180065,沃德悦享28天,,-
5万元,191130041,天添利F款,,2.40%~3.90%
5万元,191150017,交银添利京品T+0,,3.90%
5万元,191180063,日申利(个金),,-
5万元,191100421,得利宝天添利C款,,2.25%
5万元,191180066,日添利粤享,,-
私银客户：50万元其他客户：600万元,191180064,日申利(私银),,-
私银客户：10万元其他客户：600万元,191170107,私银悦享7天,,-
5万元,191110592,得利宝天添利D款,,2.20%~3.10%
5万元,131150001,天添利E款周享版,,3.00%
私银客户：20万元其他客户：600万元,191180051,私银悦享28天,,-
私银客户：10万元其他客户：600万元,191170074,交银现金添利1号(私银）,,-
5万元,191170073,现金添利,,-
5万元,191140096,天添利沃德薪金,,2.30%~3.40%
5万元,191140092,天添利D款薪金,,2.25%~3.20%
8000元,2464180064,汇添利美元1年,364天,2.90%
50万元,271110001,得利宝.至尊15号,,
50万元,271100005,得利宝.至尊12号,,
50万元,271100007,得利宝.至尊13号,,
50万元,271100006,得利宝.至尊11号,,
8000元,2464180063,汇添利美元6个月,182天,2.40%
50万元,271100004,得利宝.至尊10号,,
50万元,271110003,得利宝.至尊19号,,
50万元,271100003,得利宝.至尊8号,,
50万元,271090001,得利宝至尊5号,,-
私银客户：20万元其他客户：600万元,2463180202,私银沪深6M看涨鲨,181天,2.50%~11.30%
私银客户：20万元其他客户：600万元,2463180201,私银沪深3M看涨鲨,90天,2.00%~10.50%
私银客户：20万元其他客户：600万元,2463180204,私银黄金3M看涨鲨,91天,2.00%~9.80%
私银客户：100万元其他客户：600万元,191150006,私银全球配置,,
私银客户：20万元其他客户：600万元,2463180200,私银沪深1M看涨鲨,34天,2.00%~9.50%
私银客户：20万元其他客户：600万元,2463180203,私银黄金1M双向,42天,2.00%~7.10%
私银客户：20万元其他客户：600万元,2241180126,私银系列24个月,732天,4.80%
私银客户：50万元其他客户：600万元,2341180039,得利宝私银系列齐享定制9号,184天,4.80%
私银客户：20万元其他客户：600万元,2151180790,私银优享12个月,364天,4.70%
私银客户：50万元其他客户：600万元,2121180240,私银系列粤盈93天,93天,4.80%
私银客户：20万元其他客户：600万元,2241180125,私银欣享12个月,364天,4.75%
私银客户：20万元其他客户：600万元,2151180784,私银优享6个月,182天,4.65%
私银客户：20万元其他客户：600万元,2151180785,私银优享12个月,364天,4.70%
私银客户：20万元其他客户：600万元,2151180789,私银优享6个月,182天,4.65%
10万元,2121180237,沃德添利粤3个月,90天,4.65%
私银客户：200万元其他客户：600万元,2241180127,私银系列3个月,90天,4.65%
10万元,2242180286,沃德添利12个月,363天,4.55%~4.60%
10万元,2341180038,得利宝沃德添利齐享17号,184天,4.55%~4.60%
私银客户：20万元其他客户：600万元,2151180788,私银优享3个月,91天,4.60%
10万元,2121180229,沃德添利粤6个月,181天,4.60%
私银客户：20万元其他客户：600万元,2151180783,私银优享3个月,91天,4.60%
10万元,2242180285,沃德添利6个月,181天,4.45%~4.50%
10万元,2271180004,得利宝沃德添利鑫吉麟5号,139天,4.50%
私银客户：20万元其他客户：600万元,2151180782,私银优享2个月,63天,4.50%
10万元,2202180076,得利宝沃德添利苏睿3月,90天,4.50%
10万元,2242180287,金邻理财3个月,90天,4.45%
私银客户：20万元其他客户：600万元,2151180787,私银优享2个月,63天,4.50%
10万元,2142180140,沃德添利3个月深,91天,4.45%
10万元,2121180228,沃德添利粤2个月,62天,4.45%
10万元,2251180014,沃德添利120天,120天,4.40%
10万元,2242180284,沃德添利3个月,90天,4.35%~4.40%
私银客户：20万元其他客户：600万元,2151180786,私银优享1个月,35天,4.40%
2000万元,191170043,私银日享C款,,3.50%~4.10%
私银客户：10万元其他客户：600万元,191140086,私银日享A款,,3.40%~3.55%
10万元,2242180282,沃德添利1个月,34天,4.25%~4.30%
私银客户：10万元其他客户：600万元,191140101,私银日享B款,,3.40%
10万元,2121180236,沃德添利粤1个月,41天,4.40%
私银客户：20万元其他客户：600万元,2151180781,私银优享1个月,35天,4.40%
10万元,2242180283,沃德添利2个月,62天,4.30%~4.35%
200万元,191140068,得利宝天添利A高净值银证版,,3.40%
私银客户：10万元其他客户：100万元,191130199,得利宝天添利A款高净值版,,3.40%
1000万元,191180034,得利宝私银系列全权委托尊享6号净值型人民币理财产品,,
私银客户：500万元其他客户：600万元,191180030,得利宝私银系列全权委托尊享5号净值型人民币理财产品,,
私银客户：500万元其他客户：3000万元,191180023,得利宝私银系列全权委托尊享3号净值型人民币理财产品,,
私银客户：1000万元其他客户：3000万元,191170216,得利宝私银系列尊享专户1号,,
私银客户：50万元其他客户：600万元,191170217,私银海外稳健,,
1000万元,191180059,得利宝私银系列湖州陆氏家族全权委托尊享净值型人民币理财产品,,
私银客户：50万元其他客户：600万元,191170036,私银新股增强1702,,
私银客户：50万元其他客户：600万元,191170032,私银多元策略1701,,
600万元,191150032,私银专享多元1501,,
私银客户：50万元其他客户：600万元,191140105,私银债券稳健1401,,
5万元,2461180260,原油3M看涨鲨鱼鳍,90天,2.00%~9.50%
5万元,2461180259,原油1M看涨鲨鱼鳍,34天,2.00%~9.20%
私银客户：50万元其他客户：600万元,191150014,私银债券增强1501,,
5万元,2461180263,沪深3M看涨鲨鱼鳍,90天,3.20%~8.00%
5万元,2461180257,黄金1M看涨鲨鱼鳍,34天,3.20%~6.40%
5万元,2461180264,沪深3M看跌鲨鱼鳍,90天,3.20%~7.70%
5万元,2461180262,沪深1M看跌鲨鱼鳍,34天,3.20%~6.20%
5万元,2461180261,沪深1M看涨鲨鱼鳍,34天,3.20%~7.60%
5万元,2461180258,黄金3M看涨鲨鱼鳍,90天,3.20%~7.20%
5万元,2164180391,得利宝交银添利京品特邀1号,378天,4.80%
5万元,2121180232,交银添利粤迎新,92天,4.75%
5万元,2164180384,得利宝交银添利京品新资金3号,376天,4.75%
5万元,2163180237,交银添利特邀沪,191天,4.70%
5万元,2164180383,得利宝交银添利京品新资金2号,187天,4.70%
5万元,2102180372,交银添利迎新2号,97天,4.60%
5万元,2164180382,得利宝交银添利京品新资金1号,105天,4.70%
5万元,2102180369,交银添利12个月,363天,4.45%
5万元,2164180388,得利宝交银添利京品代发2号,182天,4.45%
5万元,2163180236,交银添利迎新版沪,109天,4.70%
5万元,2121180231,交银添利粤薪50天,50天,4.60%
5万元,2163180233,交银添利91天沪,91天,4.30%
5万元,2131180043,薪金理财菁品三月,90天,4.40%
5万元,2164180387,得利宝交银添利京品代发1号,104天,4.40%
5万元,2102180371,交银添利迎新1号,48天,4.45%
5万元,2164180385,得利宝交银添利京品6个月,182天,4.40%
5万元,2164180389,得利宝交银添利京品100天,100天,4.35%
5万元,2164180386,得利宝交银添利京品1927号,104天,4.40%
5万元,2102180368,交银添利6个月,181天,4.35%
5万元,2102180366,交银添利2个月,62天,4.20%
5万元,2164180381,得利宝交银添利京品1个月,35天,4.20%
5万元,2163180230,交银添利30天沪,30天,4.20%
5万元,2102180367,交银添利3个月,90天,4.25%
5万元,2102180365,交银添利1个月,41天,4.15%
