pfloor,pid,pname,pperiod,prate
10万,AMZYBYRX2018366,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018367,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018368,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018369,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018370,搏弈睿选,42,3.7%或3.9%
10万,AMZYBYRX2018371,搏弈睿选,63,3.8%或4.0%
10万,AMZYBYRX2018372,搏弈睿选,105,4.0%或4.2%
10万,AMZYBYRX2018373,搏弈睿选,182,4.1%或4.3%
10万,AMZYBYRX2018374,搏弈睿选,273,4.1%或4.3%
10万,AMZYBYRX2018375,搏弈睿选,364,4.2%或4.4%
10万,AMZYBYRX2018376,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018377,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018378,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018379,搏弈睿选,105,2%-8%
10万,AMZYBYRX2018380,搏弈睿选,35,3.7%或3.9%
10万,AMZYBYRX2018381,搏弈睿选,63,3.8%或4.0%
10万,AMZYBYRX2018382,搏弈睿选,105,4.0%或4.2%
10万,AMZYBYRX2018383,搏弈睿选,182,4.3%或4.5%
10万,AMZYBYRX2018384,搏弈睿选,273,4.3%或4.5%
10万,AMZYBYRX2018385,搏弈睿选,364,4.4%或4.6%
5万,AMZYJZT-LPA18636,基智通-流动性增强A系列,42,4.00%
5万,AMZYJZT-LPA18637,基智通-流动性增强A系列,58,4.10%
5万,AMZYJZT-LPA18638,基智通-流动性增强A系列,86,4.25%
5万,AMZYJZT-LPA18639,基智通-流动性增强A系列,177,4.35%
5万,AMZYJZT-LPA18640,基智通-流动性增强A系列,270,4.35%
5万,AMZYJZT-LPA18641,基智通-流动性增强A系列,359,4.40%
5万,AMZYJZT-LPA18642,基智通-流动性增强A系列,40,4.00%
5万,AMZYJZT-LPA18643,基智通-流动性增强A系列,54,4.10%
5万,AMZYJZT-LPA18644,基智通-流动性增强A系列,84,4.25%
5万,AMZYJZT-LPA18645,基智通-流动性增强A系列,177,4.30%
5万,AMZYJZT-LPA18646,基智通-流动性增强A系列,264,4.35%
5万,AMZYJZT-LPA18647,基智通-流动性增强A系列,355,4.40%
5万,AMZYJZT-LPA18648,基智通-流动性增强A系列,42,4.00%
5万,AMZYJZT-LPA18649,基智通-流动性增强A系列,54,4.10%
5万,AMZYJZT-LPA18650,基智通-流动性增强A系列,84,4.25%
5万,AMZYJZT-LPA18651,基智通-流动性增强A系列,178,4.30%
5万,AMZYJZT-LPA18652,基智通-流动性增强A系列,264,4.35%
5万,AMZYJZT-LPA18653,基智通-流动性增强A系列,355,4.40%
5万,AMZYJZT-LPA18654,基智通-流动性增强A系列,42,4.00%
5万,AMZYJZT-LPA18655,基智通-流动性增强A系列,53,4.10%
5万,AMZYJZT-LPA18656,基智通-流动性增强A系列,84,4.25%
5万,AMZYJZT-LPA18657,基智通-流动性增强A系列,179,4.30%
5万,AMZYJZT-LPA18658,基智通-流动性增强A系列,263,4.35%
5万,AMZYJZT-LPA18659,基智通-流动性增强A系列,354,4.40%
10万,AMZYJZT-LPA18660,（高净值专属）基智通-流动性增强A系列,39,4.00%
10万,AMZYJZT-LPA18661,（高净值专属）基智通-流动性增强A系列,70,4.10%
10万,AMZYJZT-LPA18662,（高净值专属）基智通-流动性增强A系列,96,4.20%
10万,AMZYJZT-LPA18663,（高净值专属）基智通-流动性增强A系列,38,4.00%
10万,AMZYJZT-LPA18664,（高净值专属）基智通-流动性增强A系列,94,4.10%
10万,AMZYJZT-LPA18665,（高净值专属）基智通-流动性增强A系列,70,4.25%
5万,AMZYPWHQ181584,（专属）中银平稳-智荟系列181584期,98,4.50%
5万,AMZYPWHQ181587,（周二爆款）中银平稳-智荟系列181587期,189,4.60%
5万,AMZYPWHQ181594,（好事成双）中银平稳-智荟系列181594期,735,4.55%
5万,AMZYPWHQ181603,中银平稳-智荟系列181603期,41,4.00%
5万,AMZYPWHQ181604,中银平稳-智荟系列181604期,70,4.10%
5万,AMZYPWHQ181605,中银平稳-智荟系列181605期,98,4.25%
5万,AMZYPWHQ181606,中银平稳-智荟系列181606期,189,4.35%
5万,AMZYPWHQ181607,中银平稳-智荟系列181607期,371,4.45%
5万,AMZYPWHQ181608,中银平稳-智荟系列181608期,41,4.00%
5万,AMZYPWHQ181609,中银平稳-智荟系列181609期,63,4.10%
5万,AMZYPWHQ181610,中银平稳-智荟系列181610期,98,4.25%
5万,AMZYPWHQ181611,中银平稳-智荟系列181611期,182,4.35%
5万,AMZYPWHQ181612,中银平稳-智荟系列181612期,371,4.45%
5万,AMZYPWHQ181613,中银平稳-智荟系列181613期,35,4.00%
5万,AMZYPWHQ181614,中银平稳-智荟系列181614期,63,4.10%
5万,AMZYPWHQ181615,中银平稳-智荟系列181615期,91,4.25%
5万,AMZYPWHQ181616,中银平稳-智荟系列181616期,182,4.35%
5万,AMZYPWHQ181617,中银平稳-智荟系列181617期,364,4.45%
5万,AMZYPWHQ181618,（手机银行专属）中银平稳-智荟系列181618期,41,4.40%
5万,AMZYPWHQ181619,（手机银行专属）中银平稳-智荟系列181619期,63,4.60%
5万,AMZYPWHQ181620,（周二爆款）中银平稳-智荟系列181620期,91,4.75%
5万,AMZYPWHQ181621,（手机银行专属）中银平稳-智荟系列181621期,98,4.45%
5万,AMZYPWHQ181622,（专属）中银平稳-智荟系列181622期,91,4.50%
5万,AMZYPWHQ181623,（理财级客户专属）中银平稳-智荟系列181623期,98,4.35%
5万,AMZYPWHQ181624,（财富级客户专属）中银平稳-智荟系列181624期,98,4.40%
5万,AMZYPWHQ181625-1,（私人银行客户专属）中银平稳-智荟系列181625-1期,98,4.45%
5万,AMZYPWHQ181626,（手机银行专属）中银平稳-智荟系列181626期,182,4.55%
5万,AMZYPWHQ181627,（专属）中银平稳-智荟系列181627期,182,4.60%
5万,AMZYPWHQ181628,（理财级客户专属）中银平稳-智荟系列181628期,189,4.45%
5万,AMZYPWHQ181629,（理财级客户专属）中银平稳-智荟系列181629期,182,4.45%
5万,AMZYPWHQ181630,（进口博览会专属）中银平稳-智荟系列181630期,95,4.45%
5万,AMZYPWHQ181631,（财富级客户专属）中银平稳-智荟系列181631期,182,4.50%
5万,AMZYPWHQ181632,（好事成双）中银平稳-智荟系列181632期,735,4.55%
10万,AMZYZF2018243-HQ,（高净值专属）中银智富理财计划2018年第243期,91,4.30%
5万,AMZYZF2018586-SH,（高净值专属）中银智富-上海2018586期,81,4.25%
5万,AMZYZF2018587-SH,（高净值专属）中银智富-上海2018587期,175,4.35%
5万,AMZYZF2018588-SH,（高净值专属）中银智富-上海2018588期,354,4.45%
5万,AMZYZF2018589-SH,（高净值专属）中银智富-上海2018589期,80,4.25%
5万,AMZYZF2018590-SH,（高净值专属）中银智富-上海2018590期,175,4.35%
5万,AMZYZF2018591-SH,（高净值专属）中银智富-上海2018591期,353,4.45%
5万,AMZYZF2018592-SH,（财富级客户专属）中银智富-上海2018592期,84,4.40%
5万,AMZYZF2018664-SH,（私人银行客户专属）中银智富-上海2018664期,85,4.45%
5万,AMZYZF2018665-SH,（私人银行客户专属）中银智富-上海2018665期,171,4.55%
5万,AOZYJF2018200-S-HQ,（高净值专属）中银集富2018-200-S-HQ期,87,4.25%
5万,AOZYJF2018201-S-HQ,（高净值专属）中银集富2018-201-S-HQ期,181,4.35%
5万,AOZYJF2018202-S-HQ,（高净值专属）中银集富2018-202-S-HQ期,360,4.45%
5万,AOZYJF2018203-S-HQ,（高净值专属）中银集富2018-203-S-HQ期,94,4.25%
5万,AOZYJF2018204-S-HQ,（高净值专属）中银集富2018-204-S-HQ期,182,4.35%
5万,AOZYJF2018205-S-HQ,（高净值专属）中银集富2018-205-S-HQ期,357,4.45%
5万,AOZYJF2018206-S-HQ,（高净值专属）中银集富2018-206-S-HQ期,91,4.25%
5万,AOZYJF2018207-S-HQ,（高净值专属）中银集富2018-207-S-HQ期,181,4.35%
5万,AOZYJF2018208-S-HQ,（高净值专属）中银集富2018-208-S-HQ期,363,4.45%
5万,BYRSD18207,人民币结构性存款,41,2.65%或2.75%
5万,BYRSD18208,人民币结构性存款,66,2.75%或2.85%
5万,BYRSD18209,人民币结构性存款,94,2.85%或2.95%
5万,BYRSD18210,人民币结构性存款,185,3.30%或3.50%
5万,BYRSD18211,人民币结构性存款,360,3.3%或3.4%
5万,BYRSD18212,人民币结构性存款,39,2.5%或2.9%
5万,BYRSD18213,人民币结构性存款,39,2.5%或2.9%
5万,BYRSD18214,人民币结构性存款,64,2.0%或3.6%
5万,BYRSD18215,人民币结构性存款,64,2.0%或3.6%
25万,BYRSD18216,（进阶-25万）人民币结构性存款,64,2.8%或3.0%
5万,BYRSD18217,（新客户专享）人民币结构性存款,92,2.95%或3.05%
5万,BYRSD18232,人民币结构性存款,36,3.10%或3.30%
5万,BYRSD18233,人民币结构性存款,64,3.15%或3.35%
5万,BYRSD18234,人民币结构性存款,94,3.20%或3.40%
5万,BYRSD18235,人民币结构性存款,185,3.40%或3.60%
5万,BYRSD18236,人民币结构性存款,360,3.60%或3.90%
5万,BYRSD18237,人民币结构性存款,36,2.90%或3.50%
5万,BYRSD18238,人民币结构性存款,36,2.90%或3.50%
5万,BYRSD18239,人民币结构性存款,64,2.50%或4.00%
5万,BYRSD18240,人民币结构性存款,64,2.50%或4.00%
25万,BYRSD18241,（进阶-25万）人民币结构性存款,64,3.10%或3.40%
5万,BYRSD18242,（新客户专享）人民币结构性存款,92,3.15%或3.45%
8000美元,USDRSD18003,美元结构性存款,94,1.3%或1.5%
8000美元,USDRSD18004,美元结构性存款,64,1.4%或1.6%
8000美元,USDRSD18005,美元结构性存款,94,1.5%或1.7%
8000美元,ZYHZB1839,（手机银行专属）中银汇增-B计划（美元）2018年第39期,184,2.20%
8000美元,ZYHZB1840,（手机银行专属）中银汇增-B计划（美元）2018年第40期,192,2.20%
1万澳元,ZYHZA-AUD1863,中银汇增-A计划（澳元）2018年第63期,183,1.50%
1万澳元,ZYHZA-AUD1864,中银汇增-A计划（澳元）2018年第64期,365,2.30%
6000澳元,ZYHZA-GBP1863,中银汇增-A计划（英镑）2018年第63期,183,0.40%
6000澳元,ZYHZA-GBP1864,中银汇增-A计划（英镑）2018年第64期,365,0.60%
8000美元,ZYHZA18217,中银汇增-A计划（美元）2018年第217期,92,1.65%
8000美元,ZYHZA18218,中银汇增-A计划（美元）2018年第218期,365,2.90%
3万美元,ZYHZA18219,(进阶增利-3万）中银汇增-A计划（美元）2018年第219期,364,3.00%
8000美元,ZYHZB1841,中银汇增-B计划（美元）2018年第41期,189,2.10%
8001美元,ZYHZB1842,中银汇增-B计划（美元）2018年第42期,98,1.65%
5万,AMHQLXTT01,中银日积月累—乐享天天,无固定存续期限,3.8899%　　　　 (七日年化收益率)
10万,830002,中银稳健增长（R）,无固定存续期限,净值
