pfloor,pid,pname,pperiod,prate
6000000.0,GD08QYJB2018033M5,乾元-私享汇财G2018年第33期人民币理财产品,155,4.76
100000.0,GD08QYJB201800447,乾元-金宝GJ2018年第488期人民币理财产品,150,4.65
100000.0,GD08QYJB201800446,乾元-金宝GJ2018年第487期人民币理财产品,109,4.65
100000.0,GD08QYJB201800445,乾元-金宝GJ2018年第486期人民币理财产品,91,4.7
100000.0,JS072018386000Y01,乾元添福资产组合理财18年第386期,286,4.6
100000.0,JS072018384000Y01,乾元添福资产组合理财18年第384期,181,4.4
100000.0,JS072018385000Y01,乾元添福资产组合理财18年第385期,221,4.5
50000.0,ZH070418008106D57,乾元-共享型2018-59理财产品,91,4.2
100000.0,ZH070418008098D59,乾元-尊享型2018-166理财产品,142,4.3
50000.0,ZH070418008126D58,乾元-共享型2018-60理财产品,233,4.5
100000.0,LN072018484004M01,乾元-天长利久18年484期,136,4.4
50000.0,LN072018483003M01,乾元-天长利久18年483期,101,4.3
100000.0,LN072018485005M01,乾元-天长利久18年485期,150,4.55
1000000.0,GD07QYSX201800229,乾元-私享2018年第243期私人银行理财产品,175,4.5
1000000.0,GD07QYSX201800231,乾元-私享2018年第245期私人银行理财产品,266,4.6
1000000.0,GD07QYSX201800228,乾元-私享2018年第242期私人银行理财产品,102,4.45
1000000.0,GD07QYSX201800230,乾元-私享2018年第244期私人银行理财产品,208,4.55
6000000.0,GD07QYSX2018106M3,乾元-私享荟2018年第106期私人银行理财产品,106,4.6
6000000.0,GD07QYSX2018107M5,乾元-私享荟2018年第107期私人银行理财产品,152,4.65
,SU082018705320D01,乾元鑫溢江南2018年第705期,320,4.5
50000.0,SU082018251360D01,乾元鑫溢江南2018年第251期,300,4.44
50000.0,SU082018169360D01,乾元鑫溢江南2018年第169期,191,4.3
50000.0,SU082018168360D01,乾元鑫溢江南2018年第168期,276,4.4
50000.0,SU082018252360D01,乾元鑫溢江南2018年第252期,363,4.5
,SU082018703180D01,乾元鑫溢江南2018年第703期,180,4.3
,SU082018704230D01,乾元鑫溢江南2018年第704期,230,4.4
50000.0,SU082018170360D01,乾元鑫溢江南2018年第170期,233,4.36
50000.0,AH072018268000Y01,乾元-鑫享事成2018第268期,175,4.5
50000.0,LN072018488002Y01,乾元-天长利久18年488期,325,4.6
100000.0,LN072018487001Y01,乾元-天长利久18年487期,241,4.6
100000.0,LN072018486007M01,乾元-天长利久18年486期,199,4.55
100000.0,GD08QYJB201800441,乾元-金宝GJ(粤鑫享)2018年第482期理财产品,121,4.35
100000.0,GD08QYJB201800442,乾元-金宝G(龙信商)2018年第483期理财产品,180,4.45
100000.0,SN070418008166D12,乾元-丝路2018-163理财产品,153,4.45
100000.0,ZH070418008280D46,乾元-代工专享2018-16理财产品,180,4.4
50000.0,ZHQYBB20180400157,乾元众享保本人民币理财产品2018年第157期,141,3.4
50000.0,ZHQYBB20180400158,乾元众享保本人民币理财产品2018年第158期,239,3.5
50000.0,ZHQYBB20180400159,乾元众享保本人民币理财产品2018年第159期,350,3.7
50000.0,ZHQYBB20180400160,乾元众享保本人民币理财产品2018年第160期,427,3.9
50000.0,ZHQYBB20180400161,乾元众享保本人民币理财产品2018年第161期,623,4.0
100000.0,SN070418008104D11,乾元-丝路2018-162理财产品,123,4.25
1000000.0,SN070418008137D57,乾元-丝路（私享）2018-89理财产品,137,4.65
