pfloor,pid,pname,pperiod,prate
50000,TTXLGR0002,日薪月益（T+0）,长&nbsp&nbsp&nbsp期,以网站公布为准
50000,ZZXMYZO5899,“薪满益足”新客180804期,362天,5.2%
50000,ZZXMYZO5908,“薪满益足”新客180805期,98天,5.15%
50000,ZZXMYZO5910,“薪满益足”180843期,361天,4.85%
50000,ZZGYAF1551,“广银安富”180820期,92天,4.75%
50000,ZZGYAF1550,“广银安富”180819期,64天,4.6%
50000,GYAFXH1000,周增利人民币理财计划（投资周期7天）,长&nbsp&nbsp&nbsp期,以网站公布为准
50000,ZZXMYZO5895,“薪满益足”30周年纪念版第一期,182天,4.9%-5%
50000,ZZXMYZO5909,“薪满益足”广发银行30周年纪念版第二期,184天,4.85%-4.95%
300000,ZZGYAF5035,“广银安富”180818期,36天,4.55%-4.6%
50000,ZZLDGY0133,“广银安富-联动共赢”2018年第28期,365天,7.0%或1.5%
