pfloor,pid,pname,pperiod,prate
100万,A18SD1279,尊享系列高收益债精选1801期,-1,0.0
3000万,A18SD1284,恒赢A款1811,90,0.0
100万,A181D4104,慧赢成长同行1845期,-1,0.0
100万,A181D4103,慧赢成长同行1844期,-1,0.0
5万,A181A3643,乐赢稳健和信1814期,-1,0.0
10万,A181A3708,乐赢成长和信1801期（端午节专属）,-1,0.0
5万,A181A3644,乐赢稳健和信1815期,-1,0.0
10万,A181A3709,乐赢成长和信1802期,-1,0.0
10000万,A18SD1525,慧赢成长18191期,96,5.15
10000万,A18SD1328,慧赢成长18164期,91,5.3
3000万,A18SD1309,恒赢A款1813,90,0.0
5000万,B17SD0009,慧赢自在投182E+,182,4.95
10000万,A18SD1352,慧赢成长18169期,159,5.3
5万,A181A3645,乐赢稳健和信1816期,-1,0.0
300万,B170D0037,慧赢自在投371C+,371,4.95
10000万,A18SD1353,慧赢成长18170期,90,5.3
5万,A181A3646,乐赢稳健和信1817期,-1,0.0
300万,A180D9110,慧赢成长随心投371天C款,371,4.95
100万,A180D6862,慧赢成长1812期,374,5.25
100万,A181D4106,慧赢成长同行1847期,-1,0.0
1000万,B17SD0008,慧赢自在投182D+,182,4.92
5万,A181A2508,乐赢稳健1851（新资金专属）,110,5.25
100万,A181D4107,慧赢成长同行1848期,-1,0.0
5000万,B16SD0067,慧赢自在投91E+,91,4.9
10000万,A18SD1391,慧赢成长18182期,90,5.25
100万,A181D4980,慧赢成长同行1850期,-1,0.0
300万,B160D0264,慧赢自在投182C+,182,4.9
5万,B130A0269,共赢13179期对私,1,5.2
100万,A181D4981,慧赢成长同行1851期,-1,0.0
300万,A180D9109,慧赢成长随心投182天C款,182,4.9
100万,A130A0268,惠益计划15号1期B,1,5.2
3000万,A18SD1479,恒赢A款1817,90,0.0
1000万,B16SD0066,慧赢自在投91D+,91,4.88
5万,A130A0279,快车A计划276号,1,5.2
3000万,A18SD1360,恒赢A款1815,90,0.0
300万,B160D0263,慧赢自在投91C+,91,4.85
5万,A130A0281,信托13001期4号,1,5.2
5万,A181A5190,乐赢沪深300挂钩1865期人民币,187,0.0
5万,B170A0033,乐赢稳健周期91天（军人专属）,91,4.85
5万,B130A0187,共赢13119期对私,1,5.2
50万,A181A5191,乐赢沪深300挂钩1866期人民币,187,0.0
100万,B170A0183,乐赢成长轻松投一年B款,371,4.85
5万,B130A0189,共赢13121期对私,1,5.2
100万,A181D4983,慧赢成长同行1853期,-1,0.0
100万,B160A0561,乐赢成长周期一年B款,371,4.85
5万,B130A0196,共赢13123期对私,1,5.2
100万,A181D4984,慧赢成长同行1854期,-1,0.0
100万,B160D0203,慧赢自在投371B+,371,4.85
