pfloor,pid,pname,pperiod,prate
5万元,AC3383,永乐1号6月型,未找到投资期限,5.28%
5万元,AC3384,永乐1号6月型,未找到投资期限,5.25%
5万元 ,AB3356,永乐1号3月型,未找到投资期限,5.13%
5万元 ,AB3357,永乐1号3月型,未找到投资期限,5.13%
5万元,AC3381,永乐1号6月型,未找到投资期限,5.17%
5万元,AC3382,永乐1号6月型,未找到投资期限,5.17%
5万元,AD2380,永乐1号1年型,未找到投资期限,5.26%
5万元,AD2381,永乐1号1年型,未找到投资期限,5.26%
5万元,BC3485,永乐2号6月型,未找到投资期限,5.27%
5万元,BB3246,永乐2号3月型,未找到投资期限,5.17%
5万元,BB3247,永乐2号3月型,未找到投资期限,5.17%
5万元,BC3483,永乐2号6月型,未找到投资期限,5.19%
5万元,BC3484,永乐2号5月型,未找到投资期限,5.19%
5万元,BD2351,永乐2号1年型,未找到投资期限,5.28%
5万元,BD2352,永乐2号1年型,未找到投资期限,5.28%
100万元,DC3107,永乐5号6月型,未找到投资期限,5.27%
100万元,DC3108,永乐5号6月型,未找到投资期限,5.27%
100万元,DD2127,永乐5号1年型,未找到投资期限,5.31%
100万元,DD2128,永乐5号1年型,未找到投资期限,5.31%
