pfloor,pid,pname,pperiod,prate
5万元,FL18238,丰利系列2018年第238期（八月狂欢特别款）,91,5.02%
5万元,FL18239,丰利系列2018年第239期（八月狂欢特别款）,133,单笔购买金额：小于20万元，5.05%；20万元（含）以上，5.07%
5万元,FL18240,丰利系列2018年第240期（八月狂欢特别款）,182,5.1%
5万元,FL18241,丰利系列2018年第241期（八月狂欢特别款）,273,单笔购买金额：小于20万元，5.15%；20万元（含）以上，5.18%
5万元,FL18242,丰利系列2018年第242期（八月狂欢特别款）,364,5.2%
5万元,FL18243,丰利系列2018年第243期（八月狂欢特别款）,546,5.23%
5万元,HY18063,恒盈系列2018年第63期,182,4.15%
5万元,ZL18029,增利系列2018年第29期,154,5.12%
5万元,FL18232,丰利系列2018年第232期（七夕特别款）,91,5.08%
5万元,FL18233,丰利系列2018年第233期（七夕特别款）,126,5.1%
5万元,FL18234,丰利系列2018年第234期（七夕特别款）,182,5.15%
5万元,FL18235,丰利系列2018年第235期（七夕特别款）,273,单笔购买金额：小于20万元，5.20%；20万元（含）以上，5.25%
5万元,FL18236,丰利系列2018年第236期（七夕特别款）,364,单笔购买金额：小于20万元，5.25%；20万元（含）以上，5.30%
5万元,FL18237,丰利系列2018年第237期（七夕特别款）,546,5.3%
5万元,HY18062,恒盈系列2018年第62期,182,4.2%
5万元,ZL18028,增利系列2018年第28期,154,5.22%
5万元,ZZY17001,周周盈（净值型）系列2017年第1期,无固定期限,5.0701%（最新周期8/8-8/14）
5万元,ZY17001,增赢系列2017年第1期,无固定期限,4.1%-5.05%
5万元,KX07D1605,财富快线系列5号（7天滚续型）,7,第87周期：4.08%
5万元,YYYJZ16001,月月盈（净值型）系列理财产品1601号,无固定期限,5.3995%（最新周期7/16-8/14）；按月确认，下一确认日9.17
5万元,HMQB15001,恒梦钱包,无固定期限,（8月21日至8月27日）4.05%
