pfloor,pname,pperiod,prate
10000000,创盈（定向）3294号,126天,5.05%
10000000,创盈（定向）3295号,96天,5.18%
10000000,创盈（定向）3296号,152天,5.20%
50000,升盈221天（七夕特供97号）,221天,4.98%
200000,升盈293天（七夕特供97号）,293天,5.02%
50000,增盈127天（2176号）,127天,4.80%
50000,增盈149天A款（2176号）,149天,4.80%
1000000,增盈149天C款（2176号）,149天,4.90%
50000,增盈191天A款（2176号）,191天,4.85%
1000000,增盈191天C款（2176号）,191天,4.95%
200000,增盈224天（高净值客户专属2187号）,224天,5.02%
50000,增盈275天A款（2176号）,275天,4.85%
1000000,增盈275天C款（2176号）,275天,4.95%
1000000,增盈287天（高净值客户专属2187号）,287天,5.08%
50000,增盈98天（2176号）,98天,4.88%
50000,增盈天天理财增强型（安逸版）,无固定期限,4.10%
50000,增薪盈206天（代发工资客户专属70号）,206天,4.95%
50000,家和盈220天（社区支行专属104号）,220天,4.92%
50000,慧盈492号A款,92天,4.35%-4.45%
200000,慧盈492号B款,92天,4.45%-4.55%
50000,慧盈492号G款,92天,0.58%-4.58%
50000,慧盈492号M款,92天,0.85%-4.85%
50000,慧盈493号A款,183天,4.36%-4.41%
200000,慧盈493号B款,183天,4.45%-4.50%
50000,慧盈493号G款,183天,0.49%-4.49%
50000,慧盈493号M款,183天,0.83%-4.83%
50000,慧盈494号A款,365天,4.36%-4.41%
200000,慧盈494号B款,365天,4.45%-4.50%
50000,步步增盈安逸版,无固定期限,4.85%
50000,车盈238天（ETC客户专属113号）,238天,4.92%
100000,龙盈1号开放式净值型理财产品,无固定期限,1.1354
100000,龙盈2号开放式净值型理财产品,无固定期限,1.1307
50000,龙盈3号开放式净值型理财产品,无固定期限,1.0942
100000,龙盈4号开放式净值型理财产品,无固定期限,1.0846
