pfloor,pid,pname,pperiod,prate
5万,BBWL273,保本稳利273天BBWL273,273,3.60%
5万,BBWL364,保本稳利364天BBWL364,364,3.75%
5万,CNJG1896,中国工商银行个人人民币结构性存款产品2018年第91期CNJG1896,364,2.70%-3.40%
5万,CNJG1910,中国工商银行个人人民币结构性存款产品2018年第90期CNJG1910,182,2.70%-3.30%
10万,ZQXT1844,2018第35期工银理财103天ZQXT1844,103,4.25%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
5万,BBWL63,保本稳利63天BBWL63,63,3.30%
5万,BBWL91,保本稳利91天BBWL91,91,3.35%
5万,BBWL273,保本稳利273天BBWL273,273,3.60%
5万,BBWL364,保本稳利364天BBWL364,364,3.75%
5万,CNJG1896,中国工商银行个人人民币结构性存款产品2018年第91期CNJG1896,364,2.70%-3.40%
5万,CNJG1910,中国工商银行个人人民币结构性存款产品2018年第90期CNJG1910,182,2.70%-3.30%
10万,ZQXT1844,2018第35期工银理财103天ZQXT1844,103,4.25%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
5万,BBWL63,保本稳利63天BBWL63,63,3.30%
5万,BBWL91,保本稳利91天BBWL91,91,3.35%
5万,BBWL273,保本稳利273天BBWL273,273,3.60%
5万,BBWL364,保本稳利364天BBWL364,364,3.75%
5万,CNJG1896,中国工商银行个人人民币结构性存款产品2018年第91期CNJG1896,364,2.70%-3.40%
5万,CNJG1910,中国工商银行个人人民币结构性存款产品2018年第90期CNJG1910,182,2.70%-3.30%
10万,ZQXT1844,2018第35期工银理财103天ZQXT1844,103,4.25%
100万,PBAG18A1,PBAG18A1工商银行私人银行全权委托资产管理畅鑫享理财计划PBAG18A1,无固定期限,上期分红适用年化收益率为3.9644％
5万,BBWL182,保本稳利182天BBWL182,182,3.50%
5万,BBWL35,保本稳利35天BBWL35,35,3.20%
5万,BBWL63,保本稳利63天BBWL63,63,3.30%
