pfloor,pid,pname,pperiod,prate,pscale
50000.0,"ALR170001,",智能日添利,0,3.30%~3.50%,https://bank.pingan.com.cn/m/aum/finance/daily-buy/index.html?tplId=PrdTempINI111&prdCode=ALR170001
200000.0,"DLR170001,",日添利（增强型）,0,3.9055%,https://bank.pingan.com.cn/m/aum/finance/daily-buy/index.html?tplId=PrdTempINI111&prdCode=DLR170001
50000.0,"ALR110001,",日添利,0,3.0500%,https://bank.pingan.com.cn/m/aum/finance/daily-buy/index.html?tplId=PrdTempINI111&prdCode=ALR110001
500000.0,"ALR130002,",私行专享日添利,0,3.3000%,https://bank.pingan.com.cn/m/aum/finance/daily-buy/index.html?tplId=PrdTempINI111&prdCode=ALR130002
500000.0,"DLR130001,",私行专享日添利（增强型）,0,3.9566%,https://bank.pingan.com.cn/m/aum/finance/daily-buy/index.html?tplId=PrdTempINI111&prdCode=DLR130001
0.0,"000905,",平安盈 鹏华,0,4.0630%,https://bank.pingan.com.cn/m/aum/fund/pa-profit/index.html?tplId=PrdTempINI006&prdCode=000905
0.0,"202301,",平安盈 南方,0,3.1440%,https://bank.pingan.com.cn/m/aum/fund/pa-profit/index.html?tplId=PrdTempINI006&prdCode=202301
0.01,"000379,",平安盈 大华,0,3.6530%,https://bank.pingan.com.cn/m/aum//fund/pa-profit/index.html?tplId=PrdTempINI006&prdCode=000379
0.0,"003473,",平安盈南方天天利,0,3.8850%,https://bank.pingan.com.cn/m/aum//fund/pa-profit/index.html?tplId=PrdTempINI006&prdCode=003473
0.0,"000560,",平安盈诺安天天宝,0,3.2950%,https://bank.pingan.com.cn/m/aum//fund/pa-profit/index.html?tplId=PrdTempINI006&prdCode=000560
0.01,"003465,",平安盈大华金管家,0,3.0600%,https://bank.pingan.com.cn/m/aum//fund/pa-profit/index.html?tplId=PrdTempINI006&prdCode=003465
1000.0,PA9008,稳盈30天,30,3.9830%,
50000.0,DG4LN179180,和盈滚滚添利180天,180,4.80%,
50000.0,DLN170090,和盈滚滚添利90天,90,4.75%,
50000.0,DLN170126,和盈系列126天,126,4.75%,
50000.0,JLK140001,月成长（净值型）2014年1期,30,4.65%,
50000.0,DLN170060,和盈滚滚添利60天,60,4.55%,
50000.0,DLN170030,和盈滚滚添利30天,30,4.50%,
50000.0,JLK150003,双周成长（净值型）2015年1期,14,4.50%,
50000.0,JLK150002,周成长（净值型）,7,4.35%,
50000.0,TLN180108,结构类（100%保本挂钩利率）资产管理类开放型182天人民币2018年108期,182,1.30%-4.50%,
50000.0,TLN180110,结构类（100%保本挂钩利率）资产管理类开放型364天人民币2018年110期,364,1.30%-4.30%,
50000.0,TLN180107,结构类（100%保本挂钩利率）资产管理类开放型98天人民币2018年107期,98,1.10%-4.20%,
50000.0,TLN180106,结构类（100%保本挂钩利率）资产管理类开放型63天人民币2018年106期,63,0.30%-3.80%,
50000.0,DK4LK180004,180天成长（净值型）,180,0.25%,
50000.0,DK5LK180005,年成长（净值型）,365,0.18%,
8000.0,XLG180015,美元结构性存款2018年15期,103,0.50%-2.35%,
200000.0,FG3LN170090,智慧滚滚添利90天,90,4.82%,
200000.0,FG2LN170060,智慧滚滚添利60天,60,4.60%,
200000.0,FG1LN170030,智慧滚滚添利30天,30,4.55%,
500000.0,TLP180036,私行专享结构类（100%保本挂钩利率）资产管理类2018年036期,128,1.10%-4.60%,
1000000.0,FLN150091,尊贵智慧91天,91,4.90%,
50000.0,A41370,平安橙丰-8a(98),98,5.05%,
1000000.0,FLN173091,尊贵智慧91天（传承俱乐部专享）,91,4.85%,
200000.0,FG4LN179180,智慧滚滚添利180天,180,4.92%,
200000.0,FLN174098,尊贵智慧98天,98,4.85%,
50000.0,DLN170035,和盈35天（寿险专属）,35,4.70%,
50000.0,DLN172042,和盈42天（新手专享）,42,4.70%,
1000000.0,FLN150035,尊贵智慧35天,35,4.72%,
1000.0,47014,定活通-美元,1,0.25-2.10%,
8000.0,47013,定活通-港币,1,0.35-1.80%,
10000.0,47001,定活通-人民币,1,1.04-4.12%,
50000.0,8791V6,广发多添利180天-8d,180,4.80%,
50000.0,DG5LN179270,和盈滚滚添利270天,270,4.80%,
50000.0,DG6LN179360,和盈滚滚添利360天,360,4.80%,
50000.0,DLN172049,和盈49天（新客新资金专享）,49,4.65%,
50000.0,DLN150002,和盈63天,63,4.55%,
50000.0,DK7LK180007,84天成长3号（净值型）,84,0.43%,
50000.0,DK3LK180003,90天成长（净值型）,90,0.35%,
200000.0,FG6LN179360,智慧滚滚添利360天,360,4.86%,
1000000.0,FLN172049,尊贵智慧49天（新客新资金专享）,49,5.00%,
200000.0,FG5LN179270,智慧滚滚添利270天,270,4.92%,
