pfloor,pid,pname,pperiod,prate
"100,000.00",FSAC14168N  ,非凡资产管理天溢金（电子银行）款,1天,3.85%
"2,000,000.00",FSAE918007  ,中国民生银行新私银财富宝丰盛系列-北京银行股票收益权融资项目4期,184天,0.00%
"2,000,000.00",FSAE918008  ,中国民生银行新私银财富宝丰盛系列-北京银行股票收益权融资项目5期,346天,0.00%
"200,000.00",FSAC14168B  ,非凡资产管理天溢金高端款,1天,3.85%
"50,000.00",FSAC14168A  ,非凡资产管理天溢金普通款,1天,3.85%
"1,000,000.00",FSAB090221  ,非凡资产管理翠竹周期开放9W周二尊享07款,63天,0.00%
"1,000,000.00",FSAB12042D  ,非凡资产管理翠竹2W理财产品周二尊享02款,14天,4.30%
"1,000,000.00",FSAB130209  ,非凡资产管理翠竹周期开放13W周二尊享03款,91天,0.00%
"10,000,000.00",FSAB12042E  ,非凡资产管理翠竹2W理财产品周二尊特02款,14天,4.30%
"200,000.00",FSAA18384B  ,非凡资产管理四月增利第352期高端01款,121天,4.80%
"200,000.00",FSAB090220  ,非凡资产管理翠竹周期开放9W周二高端07款,63天,0.00%
"200,000.00",FSAB12041B  ,非凡资产管理翠竹2W理财产品周二高端02款,14天,4.25%
"200,000.00",FSAB130208  ,非凡资产管理翠竹周期开放13W周二高端03款,91天,0.00%
"50,000.00",FSAA18384A  ,非凡资产管理四月增利第352期普通01款,121天,4.75%
"50,000.00",FSAB090219  ,非凡资产管理翠竹周期开放9W周二普通07款,63天,0.00%
"50,000.00",FSAB12040A  ,非凡资产管理翠竹2W理财产品周二普通02款,14天,4.20%
"50,000.00",FSAB130207  ,非凡资产管理翠竹周期开放13W周二普通03款,91天,0.00%
"1,000,000.00",FSAB12027D  ,非凡资产管理翠竹1W理财产品周三尊享款,7天,4.15%
"10,000,000.00",FSAB12027E  ,非凡资产管理翠竹1W理财产品周三尊特款,7天,4.15%
"200,000.00",FSAB12026B  ,非凡资产管理翠竹1W理财产品周三高端款,7天,4.10%
"50,000.00",FSAB12025A  ,非凡资产管理翠竹1W理财产品周三普通款,7天,4.05%
"50,000.00",FSAE01004A  ,非凡资产管理慧赢添利固收类4W04款,28天,0.00%
"50,000.00",FSAE03008A  ,非凡资产管理慧赢添利固收类12W08款,84天,0.00%
"1,000,000.00",FSAA18395H  ,非凡资产管理半年增利第352期（直销银行专属）尊享款,186天,4.90%
"1,000,000.00",FSAA18396H  ,非凡资产管理九月增利第352期（直销银行专属）尊享款,273天,4.90%
"1,000,000.00",FSAA18397H  ,非凡资产管理一年增利第352期（直销银行专属）尊享款,364天,4.90%
"1,000,000.00",FSAB050403  ,非凡资产管理翠竹周期开放5W周四尊享01款,35天,0.00%
"1,000,000.00",FSAB09012C  ,非凡资产管理翠竹9W理财产品周四尊享06款,63天,4.80%
"1,000,000.00",FSAB12033D  ,非凡资产管理翠竹2W理财产品周四尊享01款,14天,4.30%
"1,000,000.00",FSAB13010D  ,非凡资产管理翠竹5W理财产品周四尊享05款,35天,4.70%
"1,000,000.00",FSAB13908C  ,非凡资产管理翠竹13W理财产品周四尊享04款,91天,4.85%
"1,000,000.00",FSAB260448  ,非凡资产管理翠竹周期开放26W周四尊享16款,182天,0.00%
"10,000,000.00",FSAB12033E  ,非凡资产管理翠竹2W理财产品周四尊特01款,14天,4.30%
"100,000.00",FSCA18682A  ,升鑫宝结构性存款产品18682号,180天,0.00%
"100,000.00",FSCA18920A  ,聚赢股票-挂钩沪深300（区间）结构性存款产品18920号（直销银行专属）,35天,0.00%
"100,000.00",FSCA18930A  ,聚赢黄金-挂钩黄金结构性存款产品18930号（直销银行专属）,91天,0.00%
"100,000.00",FSCB18020A  ,聚赢股票-挂钩沪深300指数（看涨）91天定期开放型结构性存款产品19款,91天,0.00%
"100,000.00",FSCB18021A  ,聚赢股票-挂钩沪深300指数（看跌）91天定期开放型结构性存款产品20款,91天,0.00%
"200,000.00",FSAA18395B  ,非凡资产管理半年增利第352期高端02款,186天,4.85%
"200,000.00",FSAA18395G  ,非凡资产管理半年增利第352期（直销银行专属）高端款,186天,4.85%
"200,000.00",FSAA18396B  ,非凡资产管理九月增利第352期高端02款,273天,4.85%
"200,000.00",FSAA18396G  ,非凡资产管理九月增利第352期（直销银行专属）高端款,273天,4.85%
"200,000.00",FSAA18397B  ,非凡资产管理一年增利第352期高端02款,364天,4.85%
"200,000.00",FSAA18397G  ,非凡资产管理一年增利第352期（直销银行专属）高端款,364天,4.85%
"200,000.00",FSAB050402  ,非凡资产管理翠竹周期开放5W周四高端01款,35天,0.00%
"200,000.00",FSAB09012B  ,非凡资产管理翠竹9W理财产品周四高端06款,63天,4.75%
"200,000.00",FSAB12032B  ,非凡资产管理翠竹2W理财产品周四高端01款,14天,4.25%
"200,000.00",FSAB13010B  ,非凡资产管理翠竹5W理财产品周四高端05款,35天,4.65%
