pfloor,pid,pname,pperiod,prate
5万元,ZL18029,增利系列2018年第29期,154,5.12%
5万元,FL18232,丰利系列2018年第232期（七夕特别款）,91,5.08%
5万元,FL18233,丰利系列2018年第233期（七夕特别款）,126,5.1%
5万元,FL18234,丰利系列2018年第234期（七夕特别款）,182,5.15%
5万元,FL18235,丰利系列2018年第235期（七夕特别款）,273,单笔购买金额：小于20万元，5.20%；20万元（含）以上，5.25%
5万元,FL18236,丰利系列2018年第236期（七夕特别款）,364,单笔购买金额：小于20万元，5.25%；20万元（含）以上，5.30%
5万元,FL18237,丰利系列2018年第237期（七夕特别款）,546,5.3%
5万元,HY18062,恒盈系列2018年第62期,182,4.2%
5万元,ZL18028,增利系列2018年第28期,154,5.22%
5万元,FL18226,丰利系列2018年第226期（立秋特别款）,91,5.18%
5万元,FL18227,丰利系列2018年第227期（立秋特别款）,126,5.2%
5万元,FL18228,丰利系列2018年第228期（立秋特别款）,184,5.25%
5万元,FL18229,丰利系列2018年第229期（立秋特别款）,273,5.3%
5万元,FL18230,丰利系列2018年第230期（立秋特别款）,364,5.35%
5万元,FL18231,丰利系列2018年第231期（立秋特别款）,546,5.4%
5万元,HY18061,恒盈系列2018年第61期,184,4.3%
5万元,ZZY17001,周周盈（净值型）系列2017年第1期,无固定期限,5.0701%（最新周期8/8-8/14）
5万元,ZY17001,增赢系列2017年第1期,无固定期限,4.2%-5.15%
5万元,KX07D1605,财富快线系列5号（7天滚续型）,7,第87周期：4.08%
5万元,YYYJZ16001,月月盈（净值型）系列理财产品1601号,无固定期限,5.3995%（最新周期7/16-8/14）；按月确认，下一确认日9.17
5万元,HMQB15001,恒梦钱包,无固定期限,（8月14日至8月20日）4.05%
