pfloor,pid,pname,pperiod,prate
50000,2301147313,高资产净值同享盈增利系列之5万起3个月计划,90天,4.79
50000,2301157307,高净值同享盈增利之5万起1个月计划,35天,4.51
500000,3301182842,代理信托第3352期-红宝石系列65期,29717天,5.1
50000,2301147308,同享盈增利5万起35天计划,35天,4.5
50000,2301157308,高净值同享盈增利之钻石客户专属（1个月）,35天,4.52
300000,2301177706,高资产净值同享盈增利之新客理财计划,91天,5.2
50000,2301147317,浦发同享盈增利系列1个月（移动员工专属）,35天,4.7
1000000,2301157312,高净值同享盈增利之100万起（3个月）,90天,4.83
50000,2301174901,高净值同享盈增利之5万起12个月计划,360天,4.83
50000,2301147318,浦发同享盈增利系列3个月（移动员工专属）,90天,4.98
50000,2301157304,同享盈之Q点理财计划（3个月）,90天,4.79
50000,2301157318,同享盈增利2年计划,730天,4.87
50000,2301147306,同享盈增利之中移动定向客户专属（3个月）,90天,4.79
50000,2301147319,同享盈增利1个月计划-人保客户专属,35天,5.3
50000,2301157316,同享盈增利之新客专属理财计划,188天,5.2
50000,2301147307,同享盈增利之中移动定向客户专属（6个月）,180天,4.83
300000,2301147309,同享盈增利30万起35天计划,35天,4.54
50000,2301157317,同享盈增利之幸运日理财(社区银行专属),90天,4.79
50000,2301147305,同享盈增利之代发客户专属,90天,4.83
50000,2301147312,同享盈增利5万起3个月计划,90天,4.78
50000,2301157310,高净值同享盈增利之钻石客户专属（6个月）,180天,4.84
50000,2301147315,同享盈增利6个月计划,180天,4.82
1000000,2301157313,高净值同享盈增利之钻石客户专属（12个月）,360天,4.84
50000,2301147316,同享盈增利12个月计划,360天,4.82
1000000,2301157311,高净值同享盈增利之100万起（1个月）,35天,4.58
50000,2301147311,同享盈增利2个月计划,60天,4.7
50000,2301157309,高净值同享盈增利之5万起6个月计划,180天,4.83
