产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
中国农业银行“金钥匙·安心得利·181天”美元理财产品,AD172199,2.05%,8000.00,181天
中国农业银行“金钥匙·安心得利·360天”美元理财产品,AD172200,2.85%,8000.0,360天
“金益农·惠农理财”2017年第1期人民币理财产品,BFHN170001,2.5%-4.2%,50000.0,3653天
中国农业银行“本利丰步步高”开放式人民币理财产品,BFBBG160001,2%-3.1%,50000.0,3653天
“安心·灵动·14天”人民币理财产品（法人专属）,ABK160006,2.8%-3.68%,0.0,最低持有14天
“农银私行·安心快线天天利”开放式人民币理财产品（顶级客户专属）,AKTTLSH02,3.35%,2.0E8,1827天
“农银私行·安心快线天天利”开放式人民币理财产品,AKTTLSH,3.25%-3.35%,1000000.0,1827天
“农银财富·安心·灵动·60天”人民币理财产品,ABK160001,2.8%-4.25%,50000.0,最低持有60天
“本利丰天天利”开放式人民币理财产品（法人专属）,BFTT150002,2.2%-2.3%,0.0,1828天
“金钥匙·本利丰天天利”开放式人民币理财产品（个人专属）,BFTT150001,2.3%-2.4%,50000.0,1828天
“农银私行·安心得利·灵珑”2018年第49期封闭净值型人民币理财产品（签约客户专享）,AD183140,业绩基准4.6%,1000000.0,154天
“安心快线步步高”法人专属开放式人民币理财产品,AK150002,2.1%-3.45%,0.0,1828天
“金钥匙·安心得利·灵珑”2018年第44期封闭净值型人民币理财产品（薪资专享）,AD180228,业绩基准4.5%,50000.0,111天
“金钥匙·安心快线步步高”个人专属开放式人民币理财产品,AK150001,2.3%-3.75%,50000.0,1828天
“金钥匙·如意组合”2018年第116期看跌沪深300指数人民币理财产品,ADRY180116B,4%-5.1%,50000.0,181天
“安心快线天天利”开放式人民币理财产品（法人专属）,AKTTLXG,-,0.0,1828天
“金钥匙·如意”2018年第115期沪深300指数期末看涨连续型人民币理财产品,ADRY180115A,2.5%-6.5%,50000.0,90天
“安心·灵动·30天”人民币理财产品（高净值私人银行专享）,ABK150011,2.8%-4.15%,1000000.0,最低持有30天
“金钥匙·如意组合”2018年第116期看涨沪深300指数人民币理财产品,ADRY180116A,4%-5.1%,50000.0,181天
“安心·灵动·45天”人民币理财产品,ABK150007,2.8%-4.1%,50000.0,最低持有45天
“金钥匙·汇利丰”2018年第461期人民币结构性存款产品,HF180461,3.5%-3.6%,50000.0,182天
“安心·灵动·20天”人民币理财产品,ABK150006,2.8%-4%,50000.0,最低持有20天
“金钥匙·汇利丰”2018年第464期人民币结构性存款产品,HF180464,3.5%-3.6%,50000.0,182天
“金钥匙·汇利丰”2018年第467期人民币结构性存款产品,HF180467,3.5%-3.6%,50000.0,182天
“金钥匙·安心得利·灵珑”2018年第43期封闭净值型人民币理财产品（贵宾专享）,AD180227,业绩基准4.5%,100000.0,98天
“金钥匙·汇利丰”2018年第463期人民币结构性存款产品,HF180463,3.5%-3.6%,50000.0,182天
中国农业银行“金钥匙·安心得利”2018年第6115期人民币理财产,ADZJ186115,4.45%,50000.0,119天
中国农业银行“金钥匙·安心得利”2018年第6116期人民币理财产品,ADZJ186116,4.55%,50000.0,187天
“农银私行·安心得利·灵珑”2018年第48期封闭净值型人民币理财产品,AD183139,业绩基准4.55%,1000000.0,125天
“金钥匙·如意”2018年第117期黄金到期窄幅波动人民币理财产品,ADRY180117A,3%-4.9%,50000.0,90天
“农银私行·安心得利·灵珑”2018年第50期封闭净值型人民币理财产品（顶级客户专享）,AD183141,业绩基准4.65%,1.0E7,193天
“金钥匙·安心得利·灵珑”2018年第12期新客户新资金专享封闭净值型人民币理财产品,AD180230,业绩基准4.65%,50000.0,187天
“农银私行·如意”2018年第1099期黄金到期窄幅波动人民币理财产品,ADRY181099A,3%-4.95%,1000000.0,90天
