产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
得利宝私银系列齐享定制8号,2341180037,4.55%,私银客户：50万元,43天
私银优享2个月,2151180757,4.55%,私银客户：50万元,63天
私银黄金3M看涨鲨,2463180199,2.50%~10.30%,私银客户：20万元,91天
私银沪深3M看涨鲨,2463180196,2.00%~10.40%,私银客户：20万元,90天
私银沪深1M看涨鲨,2463180195,1.00%~11.00%,私银客户：20万元,34天
私银沪深6M看涨鲨,2463180197,2.50%~11.50%,私银客户：20万元,181天
私银全球配置,0191150006,,私银客户：100万元,
得利宝至尊5号,0271090001,-,50万元,
得利宝.至尊8号,0271100003,,50万元,
私银优享2个月,2151180762,4.55%,私银客户：50万元,63天
得利宝.至尊10号,0271100004,,50万元,
沃德添利6个月,2242180278,4.50%~4.55%,10万元,181天
得利宝.至尊12号,0271100005,,50万元,
沃德添利粤6个月,2121180218,4.60%,10万元,181天
得利宝.至尊11号,0271100006,,50万元,
沃德添利6个月深,2142180137,4.60%,10万元,189天
沃德添利粤3个月,2121180227,4.65%,10万元,90天
私银优享3个月,2151180758,4.65%,私银客户：50万元,91天
私银优享3个月,2151180763,4.65%,私银客户：50万元,91天
沃德添利12个月深,2142180138,4.65%,10万元,363天
天添利D款薪金,0191140092,2.25%~3.20%,5万元,
沃德添利12个月,2242180279,4.60%~4.65%,10万元,363天
天添利沃德薪金,0191140096,2.30%~3.40%,5万元,
私银系列3个月,2241180124,4.70%,私银客户：200万元,90天
现金添利,0191170073,-,5万元,
交银现金添利1号(私银）,0191170074,-,私银客户：10万元,
私银悦享7天,0191170107,-,私银客户：10万元,
私银悦享28天,0191180051,-,私银客户：20万元,
日申利(个金),0191180063,-,5万元,
日申利(私银),0191180064,-,私银客户：50万元,
日添利粤享,0191180066,-,5万元,
沃德悦享28天,0191180065,-,5万元,
得利宝.至尊13号,0271100007,,50万元,
汇添利美元6个月,2464180061,2.35%,8000元,182天
得利宝.至尊15号,0271110001,,50万元,
汇添利美元1年,2464180062,2.85%,8000元,364天
得利宝.至尊19号,0271110003,,50万元,
得利宝天添利C款,0191100421,2.25%,5万元,
得利宝天添利C款（至尊版）,0191110066,2.29%,私银客户：200万元,
得利宝薪金宝,0191170035,2.35%,5万元,
天添利E款日享版,0191120053,2.20%~2.43%,5万元,
得利宝天添利A+款至尊版,0191140048,2.70%,私银客户：5万元,
天添利D款好生意,0191150010,2.30%~2.70%,5万元,
天添利E款周享版,0131150001,3.00%,5万元,
得利宝天添利D款,0191110592,2.20%~3.10%,5万元,
得利宝天添利Ａ款,0191090001,3.20%,5万元,
天添利F款,0191130041,2.40%~3.90%,5万元,
交银添利京品T+0,0191150017,3.90%,5万元,
得利宝交银添利京品1个月,2164180370,4.20%,5万元,35天
交银添利1个月,2102180357,4.20%,5万元,35天
交银添利30天沪,2163180222,4.25%,5万元,30天
交银添利2个月,2102180358,4.25%,5万元,62天
交银添利63天沪,2163180223,4.30%,5万元,63天
得利宝交银添利京品2个月,2164180379,4.30%,5万元,63天
交银添利3个月,2102180359,4.30%,5万元,90天
交银添利91天沪,2163180225,4.35%,5万元,91天
得利宝交银添利京品100天,2164180378,4.40%,5万元,100天
交银添利6个月,2102180360,4.40%,5万元,181天
得利宝交银添利京品6个月,2164180374,4.40%,5万元,182天
薪金理财菁品三月,2131180042,4.45%,5万元,90天
得利宝交银添利京品1926号,2164180375,4.45%,5万元,104天
得利宝交银添利京品代发1号,2164180376,4.45%,5万元,104天
交银添利迎新1号,2102180363,4.50%,5万元,48天
交银添利粤薪64天,2121180221,4.50%,5万元,64天
交银添利粤薪64天,2121180224,4.50%,5万元,64天
得利宝交银添利京品代发2号,2164180377,4.50%,5万元,182天
交银添利12个月,2102180361,4.50%,5万元,363天
交银添利6个月深,2142180139,4.55%,5万元,189天
交银添利迎新2号,2102180364,4.65%,5万元,97天
得利宝交银添利京品新资金1号,2164180371,4.70%,5万元,105天
得利宝交银添利京品新资金2号,2164180372,4.70%,5万元,187天
交银添利粤迎新,2121180219,4.75%,5万元,92天
交银添利粤迎新,2121180225,4.75%,5万元,92天
交银添利迎新版沪,2163180228,4.75%,5万元,109天
交银添利特邀沪,2163180229,4.75%,5万元,191天
得利宝交银添利京品新资金3号,2164180373,4.75%,5万元,376天
得利宝交银添利京品特邀1号,2164180380,4.80%,5万元,378天
沪深1M看跌鲨鱼鳍,2461180254,3.20%~6.20%,5万元,34天
黄金1M看涨鲨鱼鳍,2461180249,3.20%~6.40%,5万元,34天
黄金1M看跌鲨鱼鳍,2461180250,3.20%~6.40%,5万元,34天
沪深1M看涨鲨鱼鳍,2461180253,3.20%~7.60%,5万元,34天
黄金3M看涨鲨鱼鳍,2461180251,3.20%~7.70%,5万元,90天
沪深3M看跌鲨鱼鳍,2461180256,3.20%~7.70%,5万元,90天
沪深3M看涨鲨鱼鳍,2461180255,3.20%~8.80%,5万元,90天
原油3M看涨鲨鱼鳍,2461180252,2.00%~9.50%,5万元,90天
私银债券稳健1401,0191140105,,私银客户：50万元,
私银债券增强1501,0191150014,,私银客户：50万元,
私银专享多元1501,0191150032,,600万元,
私银多元策略1701,0191170032,,私银客户：50万元,
私银新股增强1702,0191170036,,私银客户：50万元,
私银海外稳健,0191170217,,私银客户：50万元,
得利宝私银系列尊享专户1号,0191170216,,私银客户：1000万元,
得利宝私银系列全权委托尊享3号净值型人民币理财产品,0191180023,,私银客户：500万元,
