产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
（高净值专属）中银智富-上海2018572期,AMZYZF2018572-SH,4.10%,5万,56
（高净值专属）中银智富-上海2018573期,AMZYZF2018573-SH,4.25%,5万,80
人民币结构性存款,BYRSD18304,3.05%或3.15%,5万,185
人民币结构性存款,BYRSD18305,3.3%或3.4%,5万,360
人民币结构性存款,BYRSD18306,2.5%或2.9%,5万,36
人民币结构性存款,BYRSD18307,2.5%或2.9%,5万,36
人民币结构性存款,BYRSD18308,2.0%或3.6%,5万,64
人民币结构性存款,BYRSD18309,2.0%或3.6%,5万,64
（进阶-25万）人民币结构性存款,BYRSD18310,2.8%或3.0%,25万,64
（高净值专属）中银智富-上海2018574期,AMZYZF2018574-SH,4.35%,5万,182
（新客户专享）人民币结构性存款,BYRSD18311,2.95%或3.05%,5万,92
（高净值专属）中银智富-上海2018575期,AMZYZF2018575-SH,4.45%,5万,353
人民币结构性存款,BYRSD18315,2.65%或2.75%,5万,36
（财富级客户专属）中银智富-上海2018576期,AMZYZF2018576-SH,4.40%,5万,84
人民币结构性存款,BYRSD18316,2.75%或2.85%,5万,66
（私人银行客户专属）中银智富-上海2018660期,AMZYZF2018660-SH,4.45%,5万,83
（私人银行客户专属）中银智富-上海2018661期,AMZYZF2018661-SH,4.55%,5万,182
（高净值专属）中银集富2018-185-S-HQ期,AOZYJF2018185-S-HQ,4.00%,5万,34
（高净值专属）中银集富2018-186-S-HQ期,AOZYJF2018186-S-HQ,4.30%,5万,86
（高净值专属）中银集富2018-187-S-HQ期,AOZYJF2018187-S-HQ,4.40%,5万,182
搏弈睿选,AMZYBYRX2018356,2%-8%,10万,105
（高净值专属）中银集富2018-188-S-HQ期,AOZYJF2018188-S-HQ,4.50%,5万,359
搏弈睿选,AMZYBYRX2018357,2%-8%,10万,105
（高净值专属）中银集富2018-189-S-HQ期,AOZYJF2018189-S-HQ,4.00%,5万,32
搏弈睿选,AMZYBYRX2018358,2%-8%,10万,105
搏弈睿选,AMZYBYRX2018359,2%-8%,10万,105
搏弈睿选,AMZYBYRX2018360,3.7%或3.9%,10万,49
搏弈睿选,AMZYBYRX2018361,3.8%或4.0%,10万,63
搏弈睿选,AMZYBYRX2018362,4.0%或4.2%,10万,105
搏弈睿选,AMZYBYRX2018363,4.1%或4.3%,10万,182
搏弈睿选,AMZYBYRX2018364,4.1%或4.3%,10万,273
搏弈睿选,AMZYBYRX2018365,4.2%或4.4%,10万,364
人民币结构性存款,BYRSD18317,2.85%或2.95%,5万,94
搏弈睿选,AMZYBYRX2018346,2%-8%,10万,105
人民币结构性存款,BYRSD18318,3.05%或3.15%,5万,185
搏弈睿选,AMZYBYRX2018347,2%-8%,10万,105
人民币结构性存款,BYRSD18319,3.3%或3.4%,5万,360
搏弈睿选,AMZYBYRX2018348,2%-8%,10万,35
人民币结构性存款,BYRSD18320,2.5%或2.9%,5万,36
搏弈睿选,AMZYBYRX2018349,2%-8%,10万,35
人民币结构性存款,BYRSD18321,2.5%或2.9%,5万,36
搏弈睿选,AMZYBYRX2018350,3.7%或3.9%,10万,35
人民币结构性存款,BYRSD18322,2.0%或3.6%,5万,64
搏弈睿选,AMZYBYRX2018351,3.8%或4.0%,10万,63
<td nowrap>人民币结构性存款,BYRSD18323,2.0%或3.6%,5万,64
搏弈睿选,AMZYBYRX2018352,4.0%或4.2%,10万,105
（进阶-25万）人民币结构性存款,BYRSD18324,2.8%或3.0%,25万,64
搏弈睿选,AMZYBYRX2018353,4.1%或4.3%,10万,182
（新客户专享）人民币结构性存款,BYRSD18325,2.95%或3.05%,5万,92
搏弈睿选,AMZYBYRX2018354,4.1%或4.3%,10万,273
全球智选,HJBQQZXU18067,1.3%或1.5%,8000美元,94
