产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
非凡资产管理翠竹13W理财产品周一高端09款,FSAB13917B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周一普通03款,FSAB13905A,0.00%,"50,000.00",91
非凡资产管理瑞赢1M周四01高端款,FSAE17607B,0.00%,"200,000.00",35
非凡资产管理翠竹13W理财产品周一普通09款,FSAB13917A,0.00%,"50,000.00",91
非凡资产管理翠竹2W理财产品周四普通01款,FSAB12031A,0.00%,"50,000.00",14
非凡资产管理翠竹2W理财产品周四尊特02款,FSAB12043E,4.30%,"10,000,000.00",14
聚赢股票-挂钩沪深300指数（看涨）91天定期开放型结构性存款产品17款,FSCB18018A,0.00%,"100,000.00",91
非凡资产管理瑞赢1M周四01普通款,FSAE17607A,0.00%,"50,000.00",35
非凡资产管理瑞赢3M周四08高端款,FSAE17619B,0.00%,"200,000.00",91
聚赢系列挂钩沪深300指数（看涨）91天定期开放型结构性存款产品05款,FSCB18006A,0.00%,"100,000.00",91
非凡资产管理翠竹13W理财产品周一尊享03款,FSAB13905C,0.00%,"1,000,000.00",91
非凡资产管理翠竹13W理财产品周一尊享09款,FSAB13917C,0.00%,"1,000,000.00",91
非凡资产管理瑞赢3M周四08普通款,FSAE17619A,0.00%,"50,000.00",91
非凡资产管理翠竹13W理财产品周一高端03款,FSAB13905B,0.00%,"200,000.00",91
非凡资产管理慧赢添利固收类12W10款,FSAE03010A,0.00%,"50,000.00",84
非凡资产管理翠竹13W理财产品周四高端03款,FSAB13906B,4.85%,"200,000.00",91
非凡资产管理翠竹13W理财产品周四尊享09款,FSAB13918C,0.00%,"1,000,000.00",91
非凡资产管理翠竹周期开放5W周一普通05款,FSAB050113,0.00%,"50,000.00",35
非凡资产管理翠竹13W理财产品周四普通03款,FSAB13906A,4.80%,"50,000.00",91
非凡资产管理瑞赢3M周四07高端款,FSAE17618B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周四高端09款,FSAB13918B,0.00%,"200,000.00",91
非凡资产管理翠竹周期开放5W周一高端05款,FSAB050114,0.00%,"200,000.00",35
非凡资产管理翠竹13W理财产品周四普通09款,FSAB13918A,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放5W周一高端04款,FSAB050111,0.00%,"200,000.00",35
非凡资产管理翠竹2W理财产品周四高端01款,FSAB12032B,0.00%,"200,000.00",14
非凡资产管理翠竹周期开放5W周一尊享04款,FSAB050112,0.00%,"1,000,000.00",35
聚赢股票-挂钩沪深300指数（看跌）91天定期开放型结构性存款产品18款,FSCB18019A,0.00%,"100,000.00",91
非凡资产管理翠竹周期开放5W周一普通04款,FSAB050110,0.00%,"50,000.00",35
聚赢系列挂钩沪深300指数（看跌）91天定期开放型结构性存款产品06款,FSCB18007A,0.00%,"100,000.00",91
非凡资产管理瑞赢3M周四07普通款,FSAE17618A,0.00%,"50,000.00",91
非凡资产管理翠竹13W理财产品周四尊享03款,FSAB13906C,4.90%,"1,000,000.00",91
非凡资产管理慧赢添利固收类12W11款,FSAE03011A,0.00%,"50,000.00",84
非凡资产管理翠竹周期开放5W周一尊享05款,FSAB050115,0.00%,"1,000,000.00",35
非凡资产管理瑞赢1M周四02普通款,FSAE17609A,0.00%,"50,000.00",35
非凡资产管理翠竹13W理财产品周一尊享02款,FSAB13903C,0.00%,"1,000,000.00",91
非凡资产管理翠竹2W理财产品周二高端02款,FSAB12041B,0.00%,"200,000.00",14
非凡资产管理翠竹13W理财产品周一尊享08款,FSAB13915C,0.00%,"1,000,000.00",91
非凡资产管理翠竹13W理财产品周一高端02款,FSAB13903B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周一高端08款,FSAB13915B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周一普通02款,FSAB13903A,0.00%,"50,000.00",91
非凡资产管理瑞赢1M周四02高端款,FSAE17609B,0.00%,"200,000.00",35
非凡资产管理翠竹13W理财产品周一普通08款,FSAB13915A,0.00%,"50,000.00",91
聚赢股票-挂钩沪深300指数（看涨）91天定期开放型结构性存款产品15款,FSCB18016A,0.00%,"100,000.00",91
非凡资产管理翠竹周期开放26W周四高端03款,FSAB260408,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四尊享03款,FSAB260409,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四尊享02款,FSAB260406,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四普通03款,FSAB260407,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四普通02款,FSAB260404,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四高端02款,FSAB260405,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放13W周二高端10款,FSAB130229,0.00%,"200,000.00",91
非凡资产管理翠竹周期开放26W周四高端01款,FSAB260402,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放13W周二普通10款,FSAB130228,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放26W周四尊享01款,FSAB260403,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放13W周二尊享09款,FSAB130227,0.00%,"1,000,000.00",91
聚赢股票-挂钩沪深300指数（看跌）91天定期开放型结构性存款产品14款,FSCB18015A,0.00%,"100,000.00",91
非凡资产管理翠竹周期开放13W周二高端09款,FSAB130226,0.00%,"200,000.00",91
聚赢系列挂钩沪深300指数91天定期开放型结构性存款产品01款,FSCB18003A,0.00%,"100,000.00",91
非凡资产管理翠竹周期开放26W周四普通01款,FSAB260401,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放13W周二普通09款,FSAB130225,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放13W周二尊享08款,FSAB130224,0.00%,"1,000,000.00",91
非凡资产管理翠竹周期开放13W周二高端08款,FSAB130223,0.00%,"200,000.00",91
非凡资产管理翠竹周期开放13W周二普通08款,FSAB130222,0.00%,"50,000.00",91
非凡资产管理翠竹周期开放13W周二尊享07款,FSAB130221,0.00%,"1,000,000.00",91
非凡资产管理智赢A1号,FSAE15601A,0.00%,"50,000.00",30
非凡资产管理翠竹周期开放13W周二高端07款,FSAB130220,0.00%,"200,000.00",91
非凡资产管理翠竹周期开放13W周二尊享10款,FSAB130230,0.00%,"1,000,000.00",91
非凡资产管理翠竹13W理财产品周四普通08款,FSAB13916A,0.00%,"50,000.00",91
非凡资产管理翠竹2W理财产品周二尊享02款,FSAB12042D,0.00%,"1,000,000.00",14
非凡资产管理翠竹13W理财产品周四尊享02款,FSAB13904C,0.00%,"1,000,000.00",91
非凡资产管理翠竹1W理财产品周五尊特款,FSAB12030E,4.15%,"10,000,000.00",7
非凡资产管理翠竹13W理财产品周四尊享08款,FSAB13916C,0.00%,"1,000,000.00",91
聚赢股票-挂钩沪深300指数（看跌）91天定期开放型结构性存款产品16款,FSCB18017A,0.00%,"100,000.00",91
非凡资产管理翠竹13W理财产品周四高端02款,FSAB13904B,0.00%,"200,000.00",91
非凡资产管理翠竹2W理财产品周二尊特02款,FSAB12042E,0.00%,"10,000,000.00",14
非凡资产管理翠竹1W理财产品周五尊享款,FSAB12030D,4.15%,"1,000,000.00",7
聚赢系列挂钩沪深300指数（看跌）91天定期开放型结构性存款产品04款,FSCB18005A,0.00%,"100,000.00",91
非凡资产管理翠竹13W理财产品周四高端08款,FSAB13916B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周四普通02款,FSAB13904A,0.00%,"50,000.00",91
非凡资产管理翠竹5W理财产品周四尊享05款,FSAB13010D,0.00%,"1,000,000.00",35
非凡资产管理翠竹5W理财产品周四高端05款,FSAB13010B,0.00%,"200,000.00",35
非凡资产管理翠竹5W理财产品周四普通05款,FSAB13010A,0.00%,"50,000.00",35
非凡资产管理翠竹周期开放13W周二尊享13款,FSAB130239,0.00%,"1,000,000.00",91
聚赢系列挂钩沪深300指数（看涨）91天定期开放型结构性存款产品03款,FSCB18004A,0.00%,"100,000.00",91
