产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
全球稳健定期开放210天产品QQWJ210,QQWJ210,4.45%-4.60%,5,210
工银e灵通,ELT1401,0.896,10,无固定期限
个人增利90天,ZL90D02,4.25%-4.30%,5,90
个人尊利90天,ZL90D01,4.40%,50,90
PBZP8017深圳之星,PBZP8017,1.089100,100,30
尊享系列开放净值型（成长精选主题）理财产品2015年第2期,ZXKG1502,1.059400,10,无固定期限
中国工商银行尊享系列开放净值型理财产品2015年第5期,ZXKG1505,1.060900,10,无固定期限
PBZP18F8私银专属全权委托资产管理分红型理财产品2017年第555期,PBZP18F8,5.25%-5.35%,2000,365
PBZH1705私银专属全权委托资产管理分红型理财产品2017年第543期,PBZH1705,5.50%-6.00%,100,1825
PBZH1704私银专属全权委托资产管理分红型理财产品2017年第554期,PBZH1704,5.30%-5.80%,100,1095
PBZO1811工银私银全权委托资产管理人民币理财产品2018年第16期,PBZO1811,0.981500,30,无固定期限
PBZH1702私人银行专属全权委托资产管理2017年第512期,PBZH1702,5.25%,100,550
保本稳利364天,BBWL364,3.85%,5,364
个人高净值客户恒盛稳健人民币理财产品（245天投资周期）,HSWJ245,4.50%-4.60%,10,245
PBZH1701私银专属全权委托资产管理人民币理财产品2017年第511期,PBZH1701,4.70%,100,270
“行业优选”无固定期限净值型理财产品HYYX01,HYYX01,1.199400,5,无固定期限
个人高净值客户挂钩Au9999灵活期限理财产品,GGHJ1801,4.40%-4.80%,10,30
财富稳利126天,CFWL126,4.30%-4.45%,5,126
工行私人银行专属全权委托资产管理人民币理财产品2013年第56期,PBZP1356,1.278100,100,无固定期限
工行私人银行专属全权委托资产管理人民币理财产品2013年第55期,PBZP1355,1.299800,100,无固定期限
工银“财鑫通”个人理财产品28天CFWLDK28,CFWLDK28,4.00%,5,28
个人增利180天,ZL180D01,4.40%-4.45%,5,180
PBZP1354私银全权委托资产管理人民币理财产品2013年54期,PBZP1354,1.289800,100,无固定期限
个人尊利180天,ZL180D02,4.55%,50,180
PBZP1353私银全权委托资产管理人民币理财产品2013年53期,PBZP1353,1.367200,100,无固定期限
PBZP1357私银全权委托资产管理人民币理财产品2013年57期,PBZP1357,1.260100,100,无固定期限
PBZO1806工银私银全权委托资产管理人民币理财产品2018年第15期,PBZO1806,0.998800,30,无固定期限
工行私人银行专属全权委托资产管理人民币理财产品2013年第52期,PBZP1352,1.344300,100,无固定期限
工行私人银行专属全权委托资产管理人民币理财产品2013年第51期,PBZP1351,1.348300,100,无固定期限
工行私人银行专属全权委托资产管理人民币理财产品2013年第50期,PBZP1350,1.311500,100,无固定期限
步步为赢收益递增型灵活期限人民币理财产品WY1001,WY1001,3.10%-3.90%,10,无固定期限
